//SeaDataNet ODV PHYSICOCHEMICAL profile - Generated by Nemo 1.7.3 - 2022-05-25 14:53:46+0200
//
//<sdn_reference xlink:href="https://seadata.bsh.de/cgi-csr/XML/xmlDownload_V2.pl?csrref=20213136" xlink:role="isObservedBy" xlink:type="SDN:L23::CSR"/>
//<sdn_reference xlink:href="https://www.seadatanet.org/urnurl/SDN:C17::64PE" xlink:role="isObservedBy" xlink:type="SDN:L23::NVS2CON"/>
//<sdn_reference xlink:href="https://cdi.seadatanet.org/report/edmo/120/496235/v1/xml" xlink:role="isDescribedBy" xlink:type="SDN:L23::CDI" sdn:scope="120:496235" />
//SDN_parameter_mapping
//<subject>SDN:LOCAL:ADEPZZ01</subject><object>SDN:P01::ADEPZZ01</object><units>SDN:P06::ULAA</units>
//<subject>SDN:LOCAL:SampleID</subject><object>SDN:P01::SAMPID01</object><units>SDN:P06::XXXX</units>
//<subject>SDN:LOCAL:TEMPS901</subject><object>SDN:P01::TEMPS901</object><units>SDN:P06::UPAA</units>
//<subject>SDN:LOCAL:POTMCV01</subject><object>SDN:P01::POTMCV01</object><units>SDN:P06::UPAA</units>
//<subject>SDN:LOCAL:CNDCST01</subject><object>SDN:P01::CNDCST01</object><units>SDN:P06::MSCM</units>
//<subject>SDN:LOCAL:PRESPR01</subject><object>SDN:P01::PRESPR01</object><units>SDN:P06::UPDB</units>
//<subject>SDN:LOCAL:PSALST01</subject><object>SDN:P01::PSALST01</object><units>SDN:P06::UUUU</units>
//<subject>SDN:LOCAL:SIGTPR01</subject><object>SDN:P01::SIGTPR01</object><units>SDN:P06::UKMC</units>
//<subject>SDN:LOCAL:FLUOZZZZ</subject><object>SDN:P01::FLUOZZZZ</object><units>SDN:P06::UUUU</units>
//<subject>SDN:LOCAL:ATTNZS01</subject><object>SDN:P01::ATTNZS01</object><units>SDN:P06::UPRM</units>
//<subject>SDN:LOCAL:TURBXXXX</subject><object>SDN:P01::TURBXXXX</object><units>SDN:P06::USTU</units>
//<subject>SDN:LOCAL:SIGTEQST</subject><object>SDN:P01::SIGTEQST</object><units>SDN:P06::UKMC</units>
//<subject>SDN:LOCAL:POTMCV02</subject><object>SDN:P01::POTMCV02</object><units>SDN:P06::UPAA</units>
//<subject>SDN:LOCAL:PSALST02</subject><object>SDN:P01::PSALST02</object><units>SDN:P06::UUUU</units>
//
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	ADEPZZ01 [Metres]	QV:SEADATANET	SampleID:INDEXED_TEXT	QV:SEADATANET	TEMPS901 [Degrees Celsius]	QV:SEADATANET	POTMCV01 [Degrees Celsius]	QV:SEADATANET	CNDCST01 [MilliSiemens per centimetre]	QV:SEADATANET	PRESPR01 [Decibars]	QV:SEADATANET	PSALST01 [Dimensionless]	QV:SEADATANET	SIGTPR01 [Kilograms per cubic metre]	QV:SEADATANET	FLUOZZZZ [Dimensionless]	QV:SEADATANET	ATTNZS01 [per metre]	QV:SEADATANET	TURBXXXX [Nephelometric Turbidity Units]	QV:SEADATANET	SIGTEQST [Kilograms per cubic metre]	QV:SEADATANET	POTMCV02 [Degrees Celsius]	QV:SEADATANET	 [Dimensionless]	QV:SEADATANET
									35	0	iMAR_2021_St00	0	16.9027	0	16.8970	0	46.06768	0	35.269	0	36.1055	0	26.3878	0	0.8596	0	73.7058	0	3.740	0	26.380	0	16.8969	0	36.0970	0
									36	0	iMAR_2021_St00	0	16.7960	0	16.7901	0	45.96459	0	36.277	0	36.1121	0	26.4183	0	0.8400	0	73.8413	0	3.730	0	26.409	0	16.7901	0	36.1019	0
									37	0	iMAR_2021_St00	0	16.6732	0	16.6671	0	45.83867	0	37.284	0	36.1129	0	26.4481	0	0.8686	0	74.0879	0	3.723	0	26.438	0	16.6671	0	36.1012	0
									38	0	iMAR_2021_St00	0	16.6013	0	16.5950	0	45.76292	0	38.292	0	36.1104	0	26.4633	0	0.7670	0	74.6494	0	3.712	0	26.453	0	16.5950	0	36.0988	0
									39	0	iMAR_2021_St00	0	16.5576	0	16.5513	0	45.71655	0	39.300	0	36.1078	0	26.4716	0	0.6733	0	74.9864	0	3.707	0	26.462	0	16.5512	0	36.0968	0
									40	0	iMAR_2021_St00	0	16.5369	0	16.5304	0	45.69465	0	40.308	0	36.1058	0	26.4750	0	0.6162	0	75.1768	0	3.702	0	26.466	0	16.5303	0	36.0958	0
									41	0	iMAR_2021_St00	0	16.5225	0	16.5158	0	45.67872	0	41.316	0	36.1034	0	26.4765	0	0.5817	0	75.3014	0	3.700	0	26.468	0	16.5158	0	36.0942	0
									42	0	iMAR_2021_St00	0	16.4884	0	16.4816	0	45.64570	0	42.323	0	36.1042	0	26.4852	0	0.5526	0	75.3868	0	3.703	0	26.477	0	16.4816	0	36.0954	0
									43	0	iMAR_2021_St00	0	16.4422	0	16.4351	0	45.59785	0	43.331	0	36.1034	0	26.4956	0	0.5088	0	75.4547	0	3.699	0	26.487	0	16.4351	0	36.0944	0
									44	0	iMAR_2021_St00	0	16.3944	0	16.3872	0	45.54709	0	44.339	0	36.1012	0	26.5050	0	0.4926	0	75.5727	0	3.695	0	26.496	0	16.3872	0	36.0922	0
									45	0	iMAR_2021_St00	0	16.3353	0	16.3280	0	45.48978	0	45.347	0	36.1037	0	26.5208	0	0.4678	0	75.6951	0	3.688	0	26.512	0	16.3280	0	36.0944	0
									46	0	iMAR_2021_St00	0	16.2874	0	16.2799	0	45.43938	0	46.355	0	36.1020	0	26.5307	0	0.4216	0	75.8308	0	3.683	0	26.522	0	16.2799	0	36.0926	0
									47	0	iMAR_2021_St00	0	16.2687	0	16.2611	0	45.41838	0	47.362	0	36.0990	0	26.5328	0	0.4069	0	76.0031	0	3.680	0	26.525	0	16.2611	0	36.0905	0
									48	0	iMAR_2021_St00	0	16.2615	0	16.2537	0	45.41150	0	48.370	0	36.0980	0	26.5338	0	0.4064	0	76.1186	0	3.674	0	26.526	0	16.2537	0	36.0904	0
									49	0	iMAR_2021_St00	0	16.2271	0	16.2192	0	45.37776	0	49.378	0	36.0984	0	26.5421	0	0.3756	0	76.1746	0	3.671	0	26.535	0	16.2192	0	36.0912	0
									50	0	iMAR_2021_St00	0	16.2071	0	16.1990	0	45.35703	0	50.386	0	36.0972	0	26.5459	0	0.3500	0	76.2155	0	3.676	0	26.539	0	16.1990	0	36.0905	0
									51	0	iMAR_2021_St00	0	16.1632	0	16.1549	0	45.31659	0	51.394	0	36.1009	0	26.5590	0	0.3372	0	76.3132	0	3.672	0	26.552	0	16.1550	0	36.0938	0
									52	0	iMAR_2021_St00	0	16.0794	0	16.0710	0	45.22973	0	52.402	0	36.1003	0	26.5780	0	0.3121	0	76.3746	0	3.671	0	26.570	0	16.0710	0	36.0921	0
									53	0	iMAR_2021_St00	0	16.0573	0	16.0489	0	45.20515	0	53.409	0	36.0975	0	26.5810	0	0.2882	0	76.5025	0	3.675	0	26.573	0	16.0488	0	36.0898	0
									54	0	iMAR_2021_St00	0	16.0504	0	16.0417	0	45.19761	0	54.417	0	36.0960	0	26.5814	0	0.2695	0	76.5726	0	3.663	0	26.574	0	16.0417	0	36.0890	0
